ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_DELITO,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,HABITANTES,PREDOMINANCIA,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,NO,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,FEMENINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTO MAYOR DE 60,NO,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,MASCULINO,1
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,NO,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,FEMENINO,3
2015,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,NO,SI,NO,Ley 906,CALI,2496346,URBANO,Colombia,MASCULINO,1
2015,2015,2015,SI,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,NO,NO,NO,Ley 906,TUNJA,206791,RURAL,Colombia,FEMENINO,1
2015,2017,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,La Guajira,ACTIVO,INVESTIGACIÓN,FEMINICIDIO,PRE-ADOLESCENTE 12 - 13,NO,NO,NO,Ley 906,MAICAO,168658,URBANO,Colombia,FEMENINO,1
2015,2017,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,La Guajira,ACTIVO,INVESTIGACIÓN,FEMINICIDIO,SIN DATO,NO,NO,NO,Ley 906,MAICAO,168658,URBANO,Colombia,FEMENINO,1
2016,2016,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,INACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,TIERRALTA,112206,RURAL,Colombia,FEMENINO,1
2016,2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 1098,BELLO,500098,URBANO,Colombia,FEMENINO,1
2016,2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Caldas,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,PÁCORA,10608,RURAL,Colombia,MASCULINO,1
